aileron,elevator,rudder,flaps,slats,speedbrake,throttle,throttle,engine-pump,engine-pump,electric-pump,electric-pump,external-power,APU-generator,latitude-deg,longitude-deg,altitude-ft,roll-deg,pitch-deg,heading-deg,side-slip-deg,airspeed-kt,glideslope,vertical-speed-fps,airspeed-indicator_indicated-speed-kt,altimeter_indicated-altitude-ft,altimeter_pressure-alt-ft,attitude-indicator_indicated-pitch-deg,attitude-indicator_indicated-roll-deg,attitude-indicator_internal-pitch-deg,attitude-indicator_internal-roll-deg,encoder_indicated-altitude-ft,encoder_pressure-alt-ft,gps_indicated-altitude-ft,gps_indicated-ground-speed-kt,gps_indicated-vertical-speed,indicated-heading-deg,magnetic-compass_indicated-heading-deg,slip-skid-ball_indicated-slip-skid,turn-indicator_indicated-turn-rate,vertical-speed-indicator_indicated-speed-fpm,engine_rpm
-0.007828,-0.031754,0,0,0,0,0.539071,0,0,0,0,0,0,0,63.99183138,-22.60542624,146.223877,0.093366,5.139443,179.982346,-27.403851,3.255817,0.006864,0.003356,2.825458,18.742464,-244.895462,5.139097,0.09352,5.139097,0.09352,-239.999863,-240,146.223877,0.128214,0.122875,193.19368,187.909912,-0.004649,-0.058154,-14.30008,993.852905
-0.007828,-0.031754,0,0,0,0,0.539071,0,0,0,0,0,0,0,63.99183126,-22.60542624,146.224075,0.092229,5.14215,179.980896,-27.221773,3.27466,0.006915,0.003633,2.845917,18.735243,-244.902695,5.141785,0.092375,5.141785,0.092375,-239.999863,-240,146.224075,0.131342,0.127739,193.192276,186.957184,-0.003764,-0.055805,-10.253819,1020.963318
-0.007828,-0.031754,0,0,0,0,0.539071,0,0,0,0,0,0,0,63.99183111,-22.60542624,146.224304,0.090882,5.145325,179.979065,-27.003593,3.298965,0.006928,0.003961,2.872938,18.727278,-244.91066,5.144953,0.09103,5.144953,0.09103,-239.999863,-240,146.224304,0.135175,0.139782,193.190475,185.948624,-0.002628,-0.053412,-10.235146,1049.167358
-0.007828,-0.031754,0,0,0,0,0.546883,0,0,0,0,0,0,0,63.99183093,-22.60542624,146.224564,0.089345,5.148931,179.976822,-26.744286,3.329547,0.006891,0.004337,2.907007,18.718605,-244.919327,5.148562,0.089505,5.148562,0.089505,-239.999863,-240,146.224564,0.139902,0.160915,193.188248,184.893814,-0.001335,-0.051,-13.94947,1077.8927
-0.007828,-0.031754,0,0,0,0,0.558602,0,0,0,0,0,0,0,63.99183076,-22.60542624,146.224823,0.088046,5.152038,179.974625,-26.485909,3.358114,0.00695,0.004754,2.938826,18.711418,-244.926514,5.151676,0.088189,5.151676,0.088189,-239.999863,-240,146.224823,0.14443,0.165913,193.186096,184.033112,0.000024,-0.049103,-10.076233,1100.719238
-0.007828,-0.031754,0,0,0,0,0.58204,0,0,0,0,0,0,0,63.99183055,-22.60542623,146.225143,0.08648,5.155712,179.97171,-26.175858,3.396075,0.006886,0.005202,2.98138,18.702747,-244.935181,5.155361,0.086631,5.155361,0.086631,-239.999863,-240,146.225143,0.150474,0.194225,193.183212,183.054871,0.001552,-0.047027,-14.003305,1126.310059
-0.007828,-0.031754,0,0,0,0,0.589853,0,0,0,0,0,0,0,63.99183033,-22.60542623,146.225479,0.085065,5.159081,179.968628,-25.860603,3.434313,0.006889,0.0057,3.023579,18.694952,-244.942978,5.158742,0.085211,5.158742,0.085211,-239.999863,-240,146.225479,0.15678,0.212004,193.180145,182.190414,0.003163,-0.045272,-13.62663,1148.984619
-0.007828,-0.031754,0,0,0,0,0.589853,0,0,0,0,0,0,0,63.99183012,-22.60542623,146.225815,0.083778,5.162137,179.965424,-25.533493,3.47158,0.006902,0.006203,3.065876,18.68783,-244.950104,5.161813,0.083908,5.161813,0.083908,-239.999863,-240,146.225815,0.163225,0.225724,193.176987,181.431351,0.004798,-0.043805,-10.077765,1168.971802
-0.007828,-0.031754,0,0,0,0,0.605478,0,0,0,0,0,0,0,63.99182986,-22.60542623,146.226212,0.082426,5.165424,179.961349,-25.194958,3.51629,0.006951,0.006826,3.114426,18.680019,-244.957916,5.165109,0.082528,5.165109,0.082528,-239.999863,-240,146.226212,0.171029,0.239645,193.172989,180.640503,0.005811,-0.04236,-9.682403,1189.902466
-0.007828,-0.031754,0,0,0,0,0.613291,0,0,0,0,0,0,0,63.99182956,-22.60542623,146.226669,0.080973,5.168918,179.956375,-24.814463,3.568348,0.006912,0.007455,3.172247,18.671469,-244.966461,5.168618,0.081099,5.168618,0.081099,-239.999863,-240,146.226669,0.180451,0.27537,193.168076,179.828445,0.006308,-0.040976,-13.818762,1211.713867
